name,score,user score,critics,users,platform,rating
Ratchet & Clank,85,85.0,101,2024,PlayStation4,80.36
Dark Souls,89,89.0,54,2017,PlayStation3,80.34
DOOM Eternal,88,77.0,61,2567,PC,80.33
Diablo III: Eternal Collection,88,76.0,61,254,Switch,80.33
Wolfenstein II: The New Colossus,87,73.0,70,1292,PlayStation4,80.33
FIFA Soccer 13,90,62.0,48,425,Xbox360,80.3
Bully,87,89.0,69,516,PlayStation2,80.27
Total War: WARHAMMER II,87,79.0,69,439,PC,80.27
Rallisport Challenge 2,87,83.0,69,45,Xbox,80.27
Destiny: The Taken King,86,62.0,81,1098,PlayStation4,80.27
The Beatles: Rock Band,88,82.0,60,72,PlayStation3,80.26
inFamous,85,83.0,98,1394,PlayStation3,80.26
Guild Wars,89,83.0,53,481,PC,80.25
Monster Hunter 4 Ultimate,86,86.0,80,416,3DS,80.22
Max Payne 3,86,79.0,80,940,Xbox360,80.22
LittleBigPlanet,87,78.0,68,128,PSP,80.21
Shin Megami Tensei: Persona 4,90,76.0,47,844,PlayStation2,80.19
The World Ends with You,88,87.0,59,364,DS,80.19
Battlefield: Bad Company 2,88,85.0,59,623,PlayStation3,80.19
Bastion,86,85.0,79,295,Xbox360,80.18
Forza Motorsport 7,86,62.0,79,894,XboxOne,80.18
Castlevania: Dawn of Sorrow,89,85.0,52,222,DS,80.16
Destiny 2,85,50.0,95,2378,PlayStation4,80.16
Uncharted: The Nathan Drake Collection,86,86.0,78,2657,PlayStation4,80.13
Call of Duty: Black Ops,88,67.0,58,1252,PlayStation3,80.12
Ridge Racer,88,81.0,58,75,PSP,80.12
Total War: WARHAMMER,86,74.0,77,778,PC,80.08
FIFA Soccer 11,89,81.0,51,247,PlayStation3,80.07
F.E.A.R.,88,83.0,57,1019,PC,80.04
DiRT 2,87,81.0,65,120,Xbox360,80.03
Dragon Quest IX: Sentinels of the Starry Skies,87,86.0,65,257,DS,80.03
Nioh 2,85,79.0,91,872,PlayStation4,80.02
Tom Clancy's Splinter Cell: Conviction,85,77.0,90,658,Xbox360,79.99
Final Fantasy XII: The Zodiac Age,86,84.0,75,558,PlayStation4,79.99
Donkey Kong Country: Tropical Freeze,86,86.0,75,592,Switch,79.99
The Sims 3,86,77.0,75,1101,PC,79.99
Deus Ex: Human Revolution,89,83.0,50,751,PlayStation3,79.98
Metroid: Zero Mission,89,88.0,50,228,GameBoyAdvance,79.98
Metal Gear Solid HD Collection,89,89.0,50,483,PlayStation3,79.98
NBA 2K11,89,83.0,50,104,Xbox360,79.98
F-Zero GX,89,87.0,50,220,GameCube,79.98
Kingdom Hearts II,87,90.0,64,1281,PlayStation2,79.97
Devil May Cry 5,87,76.0,64,987,XboxOne,79.97
Dishonored,88,79.0,56,875,Xbox360,79.96
Wipeout Pure,88,80.0,56,115,PSP,79.96
Crash Bandicoot 4: It's About Time,85,84.0,89,477,PlayStation4,79.95
Ni no Kuni: Wrath of the White Witch,85,87.0,89,1134,PlayStation3,79.95
The Legend of Zelda: Twilight Princess HD,86,85.0,74,494,WiiU,79.94
Luigi's Mansion: Dark Moon,86,85.0,74,602,3DS,79.94
Pokemon Black Version,87,76.0,63,627,DS,79.9
DiRT 2,87,82.0,63,105,PlayStation3,79.9
God of War: Ghost of Sparta,86,86.0,73,436,PSP,79.88
Rise of the Tomb Raider: 20 Year Celebration,88,80.0,55,1478,PlayStation4,79.88
