name,score,user score,critics,users,platform,rating
Medieval II: Total War,88,90.0,39,842,PC,78.96
Hotline Miami,85,85.0,51,1537,PC,78.96
Bastion,86,85.0,17,1535,PC,78.95
Dark Messiah of Might and Magic,72,87.0,44,1142,PC,78.9
Journey,92,83.0,45,2233,PlayStation4,78.87
Red Orchestra: Ostfront 41-45,81,86.0,22,1293,PC,78.86
Ni no Kuni: Wrath of the White Witch,85,87.0,89,1134,PlayStation3,78.86
Gothic,81,88.0,14,1008,PC,78.85
Gears 5,84,82.0,89,2861,XboxOne,78.79
The Evil Within 2,80,89.0,28,898,PC,78.78
Call of Duty 4: Modern Warfare,94,85.0,70,1467,Xbox360,78.76
Rocket League,85,84.0,50,1746,PlayStation4,78.76
Vampire: The Masquerade - Bloodlines,80,89.0,61,891,PC,78.74
Brothers: A Tale of Two Sons,90,85.0,9,1460,PC,78.74
Devil May Cry 5,89,86.0,21,1254,PC,78.72
Xenoblade Chronicles: Definitive Edition,89,89.0,92,886,Switch,78.7
Black Mesa,84,89.0,25,886,PC,78.7
Mass Effect 2,94,86.0,62,1243,PlayStation3,78.68
The Walking Dead: A Telltale Games Series,92,86.0,12,1224,Xbox360,78.6
Donkey Kong Country: Tropical Freeze,83,89.0,77,870,WiiU,78.6
Portal 2,95,87.0,66,1073,Xbox360,78.58
Halo 2,95,84.0,91,1656,Xbox,78.55
"Papers, Please",85,85.0,40,1394,PC,78.54
Persona 5 Royal,95,82.0,71,2593,PlayStation4,78.53
DOOM Eternal,87,83.0,48,1998,PlayStation4,78.5
Final Fantasy VIII,90,87.0,24,1055,PlayStation,78.49
Castlevania: Symphony of the Night,93,92.0,12,664,PlayStation,78.48
inFamous 2,83,86.0,90,1190,PlayStation3,78.47
XCOM: Enemy Unknown,89,82.0,57,2486,PC,78.41
Halo: Reach,91,82.0,99,2486,Xbox360,78.41
Stardew Valley,89,87.0,30,1034,PC,78.38
Devil May Cry 5,88,84.0,42,1546,PlayStation4,78.28
The Legend of Zelda: Twilight Princess,96,89.0,16,823,GameCube,78.27
Sekiro: Shadows Die Twice,90,81.0,76,3228,PlayStation4,78.26
The Wolf Among Us: Episode 1 - Faith,85,89.0,45,820,PC,78.24
Grim Fandango,94,91.0,15,685,PC,78.18
Halo 3,94,80.0,86,4729,Xbox360,78.15
The Elder Scrolls IV: Oblivion,94,81.0,54,3069,PC,78.15
Guild Wars 2,90,81.0,69,3065,PC,78.14
Dark Souls,89,85.0,66,1276,Xbox360,78.14
Pokemon Platinum Version,83,89.0,46,802,DS,78.11
The Legend of Zelda: Breath of the Wild,96,82.0,13,2245,WiiU,78.11
The Orange Box,96,88.0,54,879,Xbox360,78.09
FTL: Faster Than Light,84,84.0,42,1454,PC,78.03
Far Cry 3,90,85.0,32,1235,PlayStation3,77.99
Tomb Raider,86,85.0,70,1228,Xbox360,77.97
Tekken 3,96,91.0,15,660,PlayStation,77.94
Beyond: Two Souls,70,81.0,98,2808,PlayStation3,77.93
The Evil Within 2,76,85.0,67,1213,PlayStation4,77.91
Need for Speed: Most Wanted,82,87.0,19,944,PC,77.9
Wolfenstein: The New Order,81,82.0,23,2079,PC,77.87
Splatoon 2,83,85.0,100,1202,Switch,77.87
Warframe,69,83.0,11,1666,PC,77.86
Crash Bandicoot 3: Warped,91,90.0,12,705,PlayStation,77.85
Crusader Kings II,82,87.0,31,933,PC,77.84
Mafia II,77,82.0,46,2047,PC,77.83
Baldur's Gate,91,89.0,16,759,PC,77.78
Outlast,80,83.0,59,1619,PC,77.75
Left Alive,37,83.0,39,1614,PlayStation4,77.74
S.T.A.L.K.E.R.: Call of Pripyat,80,87.0,44,914,PC,77.72
inFamous: Second Son,80,80.0,90,3691,PlayStation4,77.71
Total War: Shogun 2,90,84.0,62,1345,PC,77.71
Dragon Quest XI: Echoes of an Elusive Age,86,87.0,86,902,PlayStation4,77.65
Dead Space,89,87.0,79,902,Xbox360,77.65
Quake,94,88.0,9,813,PC,77.64
Crysis,91,81.0,56,2503,PC,77.64
Octopath Traveler,83,85.0,79,1138,Switch,77.61
The Sims 2,90,87.0,61,891,PC,77.59
Minecraft,93,79.0,33,5818,PC,77.56
The Legend of Zelda: Skyward Sword,93,81.0,81,2401,Wii,77.52
Ori and the Blind Forest,88,86.0,73,983,XboxOne,77.52
GoldenEye 007,96,90.0,21,668,Nintendo64,77.52
Yakuza 0,85,85.0,87,1108,PlayStation4,77.49
Dead Space 2,87,84.0,28,1270,PC,77.46
The Legend of Zelda: Majora's Mask 3D,89,89.0,82,710,3DS,77.38
Ratchet & Clank Future: Tools of Destruction,89,88.0,70,774,PlayStation3,77.36
Super Mario 3D Land,90,84.0,82,1239,3DS,77.35
Tomb Raider,87,83.0,27,1434,PlayStation3,77.29
Battlefield: Bad Company 2,87,82.0,46,1733,PC,77.28
